시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,입장 가능 나이,가족 화장실 보유 여부,수유실 보유 여부,유모차 대여 여부,키즈존 여부,최종작성일
양을산산림욕장,,문화관광/명소,관광지,휴양림/수목원,전라남도,목포시,상동,,산34-3 번지,,,34.82127895,126.4077288,,,전라남도 목포시 상동 산 34-3,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양재시민의숲매헌윤봉길의사기념관,,전시/공연,전시/기념관,대형기념관/묘역,서울특별시,서초구,양재동,,236 번지,매헌로,99 번,37.4730498,127.0369771,06773,서울특별시 서초구 매헌로 99,서울특별시 서초구 양재동 236,02-578-3388,http://www.yunbonggil.or.kr/_memorial_hall/,정보없음,정보없음,https://www.instagram.com/maeheon_yunbonggil/,"월요일(공휴일인 경우 다음 날 휴관), 1월 1일, 명절","[3~10월] 10:00~18:00, [11~2월] 10:00~17:00",N,Y,N,연령제한없음,N,N,N,Y,2022-10-31
양주 어린이문화센터 (2023년6월예정),,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,양주시,삼숭동,,176-5 번지,삼숭로58번길,108-47 번,37.80146068,127.108568,11486,경기도 양주시 삼숭로58번길 108-47,경기도 양주시 삼숭동 176-5,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,문의,N,N,N,N,2022-10-31
양주골김치체험박물관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,백석읍,홍죽리,486-4 번지,월암로170번길,128-16 번,37.80635598,126.9580533,11517,경기도 양주시 백석읍 월암로170번길 128-16,경기도 양주시 백석읍 홍죽리 486-4,031-837-0087,https://cafe.naver.com/yjgkimchi,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
양주농기구박물관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,은현면,도하리,99-5 번지,그루고개로,481 번,37.85209102,127.0129033,11431,경기도 양주시 은현면 그루고개로 481,경기도 양주시 은현면 도하리 99-5,031-868-0801,http://yangju.grandculture.net/yangju/toc/GC04301344,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
양주문화예술회관,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,양주시,광적면,광석리,132 번지,부흥로618번길,303 번,37.81249969,126.9723072,11502,경기도 양주시 광적면 부흥로618번길 303,경기도 양주시 광적면 광석리 132,031-828-9723,정보없음,정보없음,정보없음,정보없음,전화문의,08:00~23:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양주별산대놀이마당,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,유양동,,262 번지,부흥로1399번길,47 번,37.7862041,127.0315724,11498,경기도 양주시 부흥로1399번길 47,경기도 양주시 유양동 262,031-840-9986,http://www.sandae.com,정보없음,정보없음,정보없음,행사별 상이,행사별 상이,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
양주별산대놀이마당,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,양주시,유양동,,262 번지,부흥로1399번길,47 번,37.7862041,127.0315724,11498,경기도 양주시 부흥로1399번길 47,경기도 양주시 유양동 262,031-840-9986,http://www.sandae.com/,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양주별산대놀이보존회,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,광적면,가납리,511-17 번지,부흥로,918 번,37.81112382,126.991671,11417,경기도 양주시 광적면 부흥로 918,경기도 양주시 광적면 가납리 511-17,031-840-9986,http://www.sandae.com/,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양주상여회다지소리전수교육관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,백석읍,오산리,516-5 번지,중앙로,226-24 번,37.79687144,126.9883617,11504,경기도 양주시 백석읍 중앙로 226-24,경기도 양주시 백석읍 오산리 516-5,,https://cafe.daum.net/yangjusangyeohoedaji,정보없음,정보없음,정보없음,공연별 상이,공연별 상이,Y,N,N,공연별 상이,N,N,N,Y,2022-10-31
양주시립민복진미술관,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,석현리,394 번지,권율로,194 번,37.73106211,126.9496205,11519,경기도 양주시 장흥면 권율로 194,경기도 양주시 장흥면 석현리 394,031-8082-4255,http://www.yangju.go.kr/minbokjin/index.do,정보없음,정보없음,https://www.instagram.com/minbokjin,"월요일(공휴일인 경우 익일), 1월 1일, 명절",10:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양주시립장욱진미술관,,전시/공연,전시/기념관,미술관,경기도,양주시,장흥면,석현리,산1 번지,권율로,193 번,37.73281632,126.9492504,11519,경기도 양주시 장흥면 권율로 193,경기도 양주시 장흥면 석현리 산 1,031-8082-4245,http://changucchin.yangju.go.kr/,정보없음,https://www.facebook.com/changucchin2014,정보없음,"월요일, 1월 1일, 명절 당일",10:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양주시립회암사지박물관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,율정동,,299-1 번지,회암사길,11 번,37.84122644,127.1029809,11464,경기도 양주시 회암사길 11,경기도 양주시 율정동 299-1,031-8082-4187,https://www.yangju.go.kr/museum/index.do,정보없음,정보없음,정보없음,"월요일, 1월 1일, 명절","[3~10월] 09:00~18:00, [11~2월] 09:00~17:00",Y,N,Y,연령제한없음,N,Y,N,Y,2022-10-31
양주시문화예술회관,양주점,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,양주시,회정동,,98 번지,평화로,1713 번,37.84175017,127.05385,11435,경기도 양주시 평화로 1713,경기도 양주시 회정동 98,031-860-0250,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,Y,N,연령제한없음,N,Y,N,Y,2022-10-31
양주자연생태관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양주시,광적면,우고리,332 번지,부흥로565번길,108-13 번,37.82808892,126.958422,11423,경기도 양주시 광적면 부흥로565번길 108-13,경기도 양주시 광적면 우고리 332,031-836-7609,http://www.자연생태관.kr,https://blog.naver.com/yj-net,정보없음,정보없음,연중무휴,10:00~17:00,N,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양주천보산림욕장,,문화관광/명소,관광지,휴양림/수목원,경기도,양주시,삼숭동,,산48 번지,삼숭로58번길,108-91 번,37.80138765,127.1101717,11486,경기도 양주시 삼숭로58번길 108-91,경기도 양주시 삼숭동 산 48,031-8082-6203,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양지산산림욕장,,문화관광/명소,관광지,휴양림/수목원,경기도,시흥시,과림동,,산48 번지,,,37.4358088,126.8275064,14932,,경기도 시흥시 과림동 산 48,,정보없음,정보없음,정보없음,정보없음,연중무휴,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양천도예전시장,,전시/공연,전시/기념관,기타전시/박물관,경기도,이천시,신둔면,수광리,434-5 번지,경충대로,3231 번,37.31305968,127.3970886,17303,경기도 이천시 신둔면 경충대로 3231,경기도 이천시 신둔면 수광리 434-5,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
양천문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,서울특별시,양천구,신정동,,1325-3 번지,목동남로,106 번,37.51076244,126.8702069,08102,서울특별시 양천구 목동남로 106,서울특별시 양천구 신정동 1325-3,02-2651-5300,http://www.양천문화원.kr/,정보없음,https://www.facebook.com/YangcheonCulturalCenter/?ref=page_internal,https://www.instagram.com/accounts/login/?next=/yangcheon_culturalcenter/,정보없음,정보없음,N,Y,Y,연령제한없음,N,N,N,Y,2022-10-31
양촌유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,충청남도,논산시,양촌면,채광리,449-24 번지,이메길,25 번,36.13116256,127.2453534,33025,충청남도 논산시 양촌면 이메길 25,충청남도 논산시 양촌면 채광리 449-24,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양촌자연휴양림,,문화관광/명소,관광지,휴양림/수목원,충청남도,논산시,양촌면,남산리,산12-4 번지,매죽헌로1723번길,176-23 번,36.15726044,127.2464846,33022,충청남도 논산시 양촌면 매죽헌로1723번길 176-23,충청남도 논산시 양촌면 남산리 산 12-4,041-746-6481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030034,정보없음,정보없음,정보없음,연중무휴,"입실 15:00, 퇴실 12:00",Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양파시배지,,문화관광/명소,관광지,N,경상남도,창녕군,대지면,석리,388-6 번지,,,35.55585055,128.4599989,50316,,경상남도 창녕군 대지면 석리 388-6,055-530-6153,https://www.cng.go.kr/tour/product/00001015.web,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양평 숲속의 미술공원C아트뮤지엄,,전시/공연,전시/기념관,기타전시/박물관,경기도,양평군,양동면,단석리,415-6 번지,다락근이길,57-13 번,37.39488762,127.7373348,12538,경기도 양평군 양동면 다락근이길 57-13,경기도 양평군 양동면 단석리 415-6,031-775-6945,정보없음,정보없음,정보없음,정보없음,연중무휴,"평일 09:00~18:00 동절기 10:00~17:00, 주말 09:00~18:00 동절기 10:00~17:00",N,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양평곤충박물관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양평군,옥천면,옥천리,901 번지,,,37.50964038,127.4490591,12507,,경기도 양평군 옥천면 옥천리 901,031-775-8022,https://www.yp21.go.kr/museumhub/contents.do?key=433,정보없음,정보없음,정보없음,"월요일(공휴일인 경우 다음날), 1월1일, 명절","[3~10월] 09:30~17:30, [11~2월] 09:30~17:00",N,Y,Y,연령제한없음,N,N,N,Y,2022-10-31
양평군립미술관,,전시/공연,전시/기념관,미술관,경기도,양평군,양평읍,양근리,543 번지,문화복지길,2 번,37.49709935,127.4839989,12546,경기도 양평군 양평읍 문화복지길 2,경기도 양평군 양평읍 양근리 543,031-775-8515,https://www.ymuseum.org/home/,정보없음,정보없음,https://www.instagram.com/y_museum/,"월요일(공휴일인 경우 다음날), 1월 1일, 명절 당일",10:00~18:00,Y,N,Y,연령제한없음,Y,Y,Y,Y,2022-10-31
양평들꽃수목원,,문화관광/명소,관광지,휴양림/수목원,경기도,양평군,양평읍,오빈리,365-1 번지,경강로,1698 번,37.50251439,127.4699075,12545,경기도 양평군 양평읍 경강로 1698,경기도 양평군 양평읍 오빈리 365-1,031-772-1800,http://www.nemunimo.co.kr,정보없음,정보없음,정보없음,연중무휴,"[4~11월] 09:30~18:00, [12~3월] 09:30~17:00",N,Y,Y,연령제한없음,N,N,N,Y,2022-10-31
양평레일바이크,,문화관광/명소,관광지,유명관광지,경기도,양평군,용문면,삼성리,산49-2 번지,용문로,277 번,37.47971462,127.5865471,12518,경기도 양평군 용문면 용문로 277,경기도 양평군 용문면 삼성리 산 49-2,031-775-9911,https://www.railtrip.co.kr/kr/product_view.php?client_no=97,정보없음,정보없음,정보없음,연중무휴,"[12-2월] 09:00~16:30, [3-11월] 09:00~16:30, 토 09:00~18:00, [4-10월] 09:00~18:00",N,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양평문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,양평군,양평읍,양근리,540-1 번지,마유산로,5 번,37.49748641,127.4860423,12546,경기도 양평군 양평읍 마유산로 5,경기도 양평군 양평읍 양근리 540-1,031-771-3866,http://ypculture.org/yp16/,정보없음,정보없음,정보없음,주말,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양평미래안전체험관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양평군,용문면,다문리,452-7 번지,다문점말5길,12-33 번,37.49722616,127.574007,12516,경기도 양평군 용문면 다문점말5길 12-33,경기도 양평군 용문면 다문리 452-7,031-773-0175,http://www.goesei.or.kr/sys/bbs/board.php?bo_table=c030100,정보없음,정보없음,정보없음,"2, 4째주 토요일",09:00~18:00,Y,N,N,초등 3학년 이상,Y,N,N,Y,2022-10-31
양평생활문화센터,,전시/공연,영화/연극/공연,N,경기도,양평군,양평읍,오빈리,150-21 번지,물안개공원길,38 번,37.49957716,127.4769158,12546,경기도 양평군 양평읍 물안개공원길 38,경기도 양평군 양평읍 오빈리 150-21,031-774-2610,https://ypcf.or.kr/theater,정보없음,정보없음,정보없음,"월요일, 일요일, 공휴일","평일 10:00~21:00, 토요일 10:00~18:00",Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
양평수목원,,문화관광/명소,관광지,휴양림/수목원,경기도,양평군,지평면,옥현리,1502-6 번지,,,37.4491756,127.6136109,12544,,경기도 양평군 지평면 옥현리 1502-6,1666-5492,http://ypcamping.com/main/index.html,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양평아프리카문화예술박물관,,전시/공연,전시/기념관,기타전시/박물관,경기도,양평군,용문면,금곡리,193-1 번지,금곡길,40 번,37.50731557,127.6164383,12513,경기도 양평군 용문면 금곡길 40,경기도 양평군 용문면 금곡리 193-1,031-771-5722,http://www.africa-museum.co.kr/,정보없음,정보없음,정보없음,월요일,10:00~18:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양평양떼목장,,문화관광/명소,관광지,동물원,경기도,양평군,용문면,광탄리,300 번지,은고갯길,112 번,37.51541732,127.6288222,12513,경기도 양평군 용문면 은고갯길 112,경기도 양평군 용문면 광탄리 300,031-774-4512,https://ypsheepfarm.modoo.at/,정보없음,정보없음,https://www.instagram.com/yp_sheepfarm/,화요일,09:30~17:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양평임실치즈마을,,문화관광/명소,관광지,N,경기도,양평군,서종면,수능리,300-31 번지,,,37.59646901,127.3784995,12504,,경기도 양평군 서종면 수능리 300-31,031-771-1505,http://www.kcheesecook.co.kr/,정보없음,정보없음,정보없음,전화문의,10:00~17:00,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양평자동차극장,,전시/공연,영화/연극/공연,N,경기도,양평군,양평읍,오빈리,365-5 번지,경강로,1704 번,37.50250871,127.4705875,12545,경기도 양평군 양평읍 경강로 1704,경기도 양평군 양평읍 오빈리 365-5,031-773-3405,http://ypdit.co.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
양호단소,,문화관광/명소,관광지,N,울산광역시,울주군,청량읍,동천리,산80 번지,,,35.46988747,129.2762646,44964,,울산광역시 울주군 청량읍 동천리 산 80,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
양화진문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,서울특별시,마포구,합정동,,114-4 번지,,,37.54437976,126.9109078,04085,,서울특별시 마포구 합정동 114-4,02-332-9171,http://www.yanghwajin.re.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,N,N,N,Y,2022-10-31
어달해수욕장,,문화관광/명소,관광지,해수욕장,강원도,동해시,어달동,,,,,37.56495754,129.1125479,,,강원도 동해시 어달동,033-530-2234,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어답산관광지,,문화관광/명소,관광지,유명관광지,강원도,횡성군,갑천면,병지방리,540-4 번지,어답산로,516 번,37.59380845,128.0575189,25251,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 540-4,033-340-2114,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
어댑터플레이스,,전시/공연,영화/연극/공연,N,부산광역시,수영구,광안동,,197-18 번지,광안해변로,193 번,35.15165571,129.1167408,48303,부산광역시 수영구 광안해변로 193,부산광역시 수영구 광안동 197-18,,"https://adapter.theater/",정보없음,https://www.facebook.com/%EC%96%B4%EB%8C%91%ED%84%B0-Adapter-place-100768218742552,https://www.instagram.com/yesweare_adapter/,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
어라물고기네체험교육장,,문화관광/명소,관광지,N,경기도,화성시,봉담읍,상기리,415-4 번지,주석로,1009 번,37.20069805,126.923932,18333,경기도 화성시 봉담읍 주석로 1009,경기도 화성시 봉담읍 상기리 415-4,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
어랑어랑예술단,,전시/공연,영화/연극/공연,공연/연극/문화센터,전라남도,장흥군,장흥읍,건산리,380-23 번지,중앙로,13-2 번,34.67729276,126.9087176,59327,전라남도 장흥군 장흥읍 중앙로 13-2,전라남도 장흥군 장흥읍 건산리 380-23,061-862-9797,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
어래산성,,문화관광/명소,명승지,성/성터,전라북도,군산시,나포면,나포리,산156 번지,,,36.04173455,126.8724406,,,전라북도 군산시 나포면 나포리 산 156,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어루너머해변,,문화관광/명소,관광지,해수욕장,인천광역시,옹진군,덕적면,문갑리,,,,37.17195038,126.1061955,,,인천광역시 옹진군 덕적면 문갑리,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어리목,,문화관광/명소,관광지,유명관광지,제주특별자치도,제주시,해안동,,산220-13 번지,1100로,2070-61 번,33.39268683,126.4948405,63077,제주특별자치도 제주시 1100로 2070-61,제주특별자치도 제주시 해안동 산 220-13,064-713-9950,http://www.jeju.go.kr/hallasan/index.htm,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,연령제한없음,N,N,N,Y,2022-10-31
어린이과학관,,전시/공연,전시/기념관,기타전시/박물관,광주광역시,북구,오룡동,,1-6 번지,첨단과기로,235 번,35.22990781,126.8498705,61005,광주광역시 북구 첨단과기로 235,광주광역시 북구 오룡동 1-6,062-960-6210,https://www.sciencecenter.or.kr/,https://blog.naver.com/sciencenter,https://www.facebook.com/gnsmvisit,https://www.instagram.com/gnsmvisit/,"월요일, 1월 1일, 명절 당일",09:30~17:30,N,Y,N,연령제한없음,N,N,N,Y,2022-10-31
어린이극장,,전시/공연,영화/연극/공연,N,광주광역시,동구,광산동,,13 번지,문화전당로26번길,7 번,35.14644086,126.9198892,61485,광주광역시 동구 문화전당로26번길 지하 7,광주광역시 동구 광산동 13,1899-5566,https://www.acc.go.kr/child/contents.do?PID=0101,정보없음,정보없음,https://www.instagram.com/asiaculturecenter/,월요일,"수, 토 [내부시설] 10:00 - 20:00, [외부시설(3~11월)] 06:00 - 22:00, 화,목,금,일 [내부시설] 10:00 - 18:00, [외부시설(3~11월)] 06:00 - 22:00",N,Y,N,연령제한없음,N,Y,Y,Y,2022-10-31
어린이꿈틀,,전시/공연,전시/기념관,미술관,경기도,안산시 단원구,초지동,,667 번지,동산로,268 번,37.32507855,126.8099898,15385,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,031-481-7000,https://gmoma.ggcf.kr/,정보없음,정보없음,정보없음,"월요일, 명절 당일",10:00~18:00,Y,N,N,연령제한없음,Y,Y,Y,Y,2022-10-31
어린이대공원,,문화관광/명소,관광지,테마공원/대형놀이공원,서울특별시,광진구,능동,,18 번지,능동로,216 번,37.5520117,127.0787724,04991,서울특별시 광진구 능동로 216,서울특별시 광진구 능동 18,02-450-9311,정보없음,정보없음,정보없음,정보없음,연중무휴,05:00~22:00,N,Y,N,연령제한없음,Y,Y,Y,Y,2022-10-31
어린이미술관자란다,,전시/공연,전시/기념관,미술관,경기도,파주시,탄현면,만우리,129-2 번지,새오리로427번길,38-6 번,37.81787016,126.6988182,10858,경기도 파주시 탄현면 새오리로427번길 38-6,경기도 파주시 탄현면 만우리 129-2,031-949-6772,http://www.zarandamuse.com,정보없음,https://www.facebook.com/%EC%96%B4%EB%A6%B0%EC%9D%B4%EB%AF%B8%EC%88%A0%EA%B4%80-%EC%9E%90%EB%9E%80%EB%8B%A4-139242390250850/,https://www.instagram.com/zarandamuse/,"월요일, 공휴일",10:00~17:00,Y,N,Y,연령제한없음,Y,N,N,Y,2022-10-31
어린이민속박물관,,전시/공연,전시/기념관,대형전시/박물관,서울특별시,종로구,청운효자동,,1-1 번지,사직로,161 번,37.57590409,126.9768421,03045,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1,02-3704-3014,https://nfm.go.kr/kids/nfmkid/index.do,정보없음,정보없음,정보없음,"1월 1일, 명절","[03~10월] 09:00~18:00, [11~02월] 09:00~17:00",N,Y,N,연령제한없음,N,Y,Y,Y,2022-10-31
어린이식품안전체험관,,전시/공연,전시/기념관,기타전시/박물관,경기도,부천시,대장동,,607 번지,벌말로,122 번,37.54230538,126.7653692,14400,경기도 부천시 벌말로 122,경기도 부천시 대장동 607,032-672-6590,http://www.bcfoodsafety.or.kr/,정보없음,정보없음,https://www.instagram.com/bcfood_kids/?igshid=1lbf4nqyytv6w,"주말, 공휴일 ",10:00~17:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어린이체험미술관선물,,전시/공연,전시/기념관,미술관,경기도,파주시,야당동,,226-17 번지,송학1길,126-52 번,37.71563791,126.7657196,10909,경기도 파주시 송학1길 126-52,경기도 파주시 야당동 226-17,031-946-7005,정보없음,https://blog.naver.com/bsj631017,정보없음,정보없음,연중무휴,00:00~24:00,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
어린이토이박물관,,전시/공연,전시/기념관,기타전시/박물관,경기도,파주시,탄현면,법흥리,1652-75 번지,헤이리마을길,93-127 번,37.79153825,126.699059,10859,경기도 파주시 탄현면 헤이리마을길 93-127,경기도 파주시 탄현면 법흥리 1652-75,031-945-8378,https://cafe.naver.com/toymuseum.cafe,정보없음,정보없음,정보없음,월요일,10:00~19:00,Y,N,Y,연령제한없음,Y,N,N,Y,2022-10-31
어릿골해수욕장,,문화관광/명소,관광지,해수욕장,인천광역시,옹진군,자월면,자월리,,,,37.25636075,126.3109609,,,인천광역시 옹진군 자월면 자월리,,정보없음,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어메이징파크,,전시/공연,전시/기념관,대형전시/박물관,경기도,포천시,신북면,금동리,606 번지,탑신로,860 번,37.92655661,127.1422009,11137,경기도 포천시 신북면 탑신로 860,경기도 포천시 신북면 금동리 606,031-532-1881,https://www.amazingpark.co.kr/,정보없음,정보없음,정보없음,"월요일, 화요일",10:00~18:00,Y,N,Y,연령제한없음,N,Y,N,Y,2022-10-31
어사박문수유물관,,전시/공연,전시/기념관,기타전시/박물관,충청남도,천안시 동남구,북면,은지리,44 번지,박문수길,149-1 번,36.77818708,127.2726345,31242,충청남도 천안시 동남구 북면 박문수길 149-1,충청남도 천안시 동남구 북면 은지리 44,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어서오산휴센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,오산시,내삼미동,,269-4 번지,북삼미로,42 번,37.18010754,127.0628546,18112,경기도 오산시 북삼미로 42,경기도 오산시 내삼미동 269-4,031-375-7608,https://www.osan.go.kr/depart/contents.do?mId=0910020100,정보없음,https://www.facebook.com/osansport,https://www.instagram.com/osan_tour/,월요일,10:00~17:00,N,Y,N,연령제한없음,N,N,N,Y,2022-10-31
어섬레저휴양지,,문화관광/명소,관광지,일반유원지/일반놀이공원,경기도,화성시,송산면,고포리,828-2 번지,어섬길153번길,70-7 번,37.24086881,126.6518811,18545,경기도 화성시 송산면 어섬길153번길 70-7,경기도 화성시 송산면 고포리 828-2,,http://hu4682.s13.hdweb.co.kr/,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어성전리마을관리휴양지,,문화관광/명소,관광지,휴양림/수목원,강원도,양양군,현북면,어성전리,산2 번지,부연동길,1343 번,37.90234776,128.6520578,25051,강원도 양양군 현북면 부연동길 1343,강원도 양양군 현북면 어성전리 산 2,033-670-2114,http://hajodae.org/wp/%EC%96%B4%EC%84%B1%EC%A0%84-%EA%B3%84%EA%B3%A1/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,Y,2022-10-31
어우재미술관,,전시/공연,전시/기념관,미술관,경기도,여주시,점동면,관한리,42-1 번지,어우실길,261 번,37.14675269,127.6756069,12668,경기도 여주시 점동면 어우실길 261,경기도 여주시 점동면 관한리 42-1,,http://www.awoojaemuseum.kr/,정보없음,정보없음,정보없음,월요일,"동절기 10:00~17:00, 하절기 10:00~18:00",Y,N,Y,연령제한없음,N,N,N,Y,2022-10-31
어울림극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,동구,불로동,,582-1 번지,팔공로28길,44781 번,35.91040851,128.6421436,41036,대구광역시 동구 팔공로28길 8-8,대구광역시 동구 불로동 582-1,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,연령제한없음,N,N,N,N,2022-10-31
어울림남구,,문화관광/명소,관광지,N,광주광역시,남구,원산동,,943-1 번지,포충로,735 번,35.08909386,126.8461273,61752,광주광역시 남구 포충로 735,광주광역시 남구 원산동 943-1,062-384-5539,정보없음,정보없음,정보없음,정보없음,연중무휴,09:00~18:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어울림소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,경기도,시흥시,대야동,,332-1 번지,,,37.44919277,126.7850882,14902,,경기도 시흥시 대야동 332-1,031-310-2062,https://www.siheung.go.kr/edu/contents.do?mId=0501030700,정보없음,정보없음,정보없음,공연별 상이,공연별 상이,Y,N,Y,공연별 상이,N,N,N,Y,2022-10-31
어울림텃밭학교,,문화관광/명소,관광지,N,광주광역시,광산구,신가동,,200-38 번지,,,35.17557351,126.8350615,62316,,광주광역시 광산구 신가동 200-38,0507-1317-4945,정보없음,정보없음,정보없음,정보없음,전화문의,09:00~18:30,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
어울아트센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,대구광역시,북구,관음동,,1372 번지,구암로,47 번,35.93586735,128.5451287,41447,대구광역시 북구 구암로 47,대구광역시 북구 관음동 1372,053-320-5120,https://www.hbcf.or.kr/front/,https://blog.naver.com/bukguarts,https://www.facebook.com/happybukgu,https://www.instagram.com/happy_bukgu/,정보없음,정보없음,Y,N,N,연령제한없음,N,Y,N,Y,2022-10-31
어은돌해수욕장,,문화관광/명소,관광지,해수욕장,충청남도,태안군,소원면,모항리,,,,36.76747572,126.1357813,,,충청남도 태안군 소원면 모항리,041-670-2616,http://www.taean.go.kr/prog/tursmCn/tour/sub02_03/view.do?cntno=24&contentTypeCode=TC002,정보없음,정보없음,정보없음,연중무휴,00:00~24:00,Y,N,N,연령제한없음,N,N,N,Y,2022-10-31
